Title,Link
‘Diplomat’ Of Nowhere: How One Man Turned A Ghaziabad Bungalow Into A Fake Embassy,https://www.news18.com/india/diplomat-of-nowhere-how-one-man-turned-a-ghaziabad-bungalow-into-a-fake-embassy-ws-l-9458443.html
"IndiGo Flight From Ahmedabad Catches Fire Before Takeoff, Pilot Sends 'Mayday' Call To ATC",https://www.news18.com/india/indigo-flight-from-ahmedabad-engine-catches-fire-just-before-takeoff-aborted-diu-probe-9458547.html
"India Vs England Live Score Updates, 4th Test Day 1: IND 78/0 At Lunch, KL Rahul Batting On 40",https://www.news18.com/cricket/ind-vs-eng-live-score-india-vs-england-4th-test-match-day-1-cricket-scorecard-manchester-latest-news-liveblog-9457725.html
"Tanushree Dutta Makes SHOCKING Allegations, Claims 'Bollywood Mafia Threat Like Sushant Singh Rajput'",https://www.news18.com/movies/bollywood/tanushree-dutta-makes-shocking-allegations-claims-bollywood-mafia-threat-like-sushant-singh-rajput-ws-l-9458456.html
"'Positive Move': India Set To Resume Tourist Visas For Chinese Citizens, Beijing Reacts",https://www.news18.com/india/india-to-resume-issuing-tourist-visas-to-chinese-nationals-9457792.html
"Parliament Set To Discuss Operation Sindoor Next Week, PM Modi Likely To Intervene",https://www.news18.com/india/operation-sindoor-debate-scheduled-in-rajya-sabha-for-july-29-16-hours-allocated-9458141.html
Who Is Anshul Kamboj? All You Need To Know About India's 318th Test Cricketer,https://www.news18.com/cricket/who-is-anshul-kamboj-all-you-need-to-know-about-indias-318th-test-cricketer-ws-l-9458351.html
"How Harshvardhan Jain, ‘Ambassador Of Westarctica’, Became The Ultimate Con Star Of Ghaziabad",https://www.news18.com/india/ghaziabad-fake-embassy-of-westarctica-busted-harshvardhan-jain-was-operating-it-from-kavi-nagar-ws-kl-9458774.html
UK Woman Dies After Being Licked By Granddaughter's Dog: Here's What Happened,https://www.news18.com/world/uk-woman-dies-after-being-licked-by-granddaughters-dog-heres-what-happened-ws-l-9458813.html
"Boney Kapoor Loses 26 Kgs, Undergoes Drastic Physical Transformation; Pics Viral",https://www.news18.com/movies/bollywood/boney-kapoor-loses-26-kgs-undergoes-drastic-physical-transformation-pics-viral-9456998.html
"7-Month-Old Girl ‘Offered For Sex’ By Mother For Rs 35,000. Snapchat Flags ‘Pay Half Now...’ Deal",https://www.news18.com/viral/rs-35000-seven-month-old-girl-offered-for-sex-by-mother-snapchat-flags-deal-9458411.html
"Infosys Q1 Results: Net Profit Rises 8.7% YoY To Rs 6,921 Crore, Revenue Up 7.5%",https://www.news18.com/business/infosys-q1-results-net-profit-rises-8-7-yoy-to-rs-6921-crore-falls-1-6-qoq-9458472.html
China Bars Two US Citizens From Leaving: What Are Exit Bans And How Do They Work?,https://www.news18.com/explainers/china-bars-two-us-citizens-from-leaving-what-are-exit-bans-and-how-do-they-work-ws-l-9458576.html
"Indian Student Hospitalised After Alleged Racist Attack In Adelaide: 'F**K off, Indian'",https://www.news18.com/world/indian-student-hospitalised-after-alleged-racist-attack-in-adelaide-fk-off-indian-9457421.html
"‘Fans Would Need Ambulance’: Netizens Compare Saiyaara Craze With Tere Naam, Sadma",https://www.news18.com/viral/saiyaara-craze-compared-to-salman-khan-tere-naam-kamal-haasan-sadma-movies-ws-l-aa-aa-9458019.html
"Clothes, Jewellery, Scotch: How India-UK FTA Will Bring Cheers To These Sectors",https://www.news18.com/explainers/clothes-jewellery-scotch-how-india-uk-fta-will-bring-cheers-to-these-sectors-ws-dl-9457641.html
"KL Rahul Creates History, Becomes 2nd Indian Opener After Sunil Gavaskar To...",https://www.news18.com/cricket/kl-rahul-creates-history-becomes-2nd-indian-opener-after-sunil-gavaskar-to-ws-l-9458708.html
First Time In 93 Years! India Playing A Test Match With...,https://www.news18.com/cricket/first-time-in-93-years-india-playing-a-test-match-with-5-left-handed-batters-ws-l-9458610.html
"KL Rahul Joins Tendulkar & Gavaskar In Elite List, Becomes 4th Indian To...",https://www.news18.com/cricket/kl-rahul-joins-tendulkar-gavaskar-in-elite-list-becomes-4th-indian-to-ws-l-9458421.html
"India Lose 14th Toss In A Row; Odds Of That Happening Is 16,384/1",https://www.news18.com/cricket/india-lose-14th-toss-in-a-row-odds-of-that-happening-is-16384-1-ws-l-9458494.html
Europe’s Russian Energy Hypocrisy: Why Targeting India Rings Hollow,https://www.news18.com/podcast/news18-straight-talk/europe-s-russian-energy-hypocrisy-why-targeting-india-rings-hollow-9455782.html
India Plays Hardball With ASEAN After $45B Trade Disaster,https://www.news18.com/podcast/news18-worldwise/india-plays-hardball-with-asean-after-45b-trade-disaster-9454958.html
Test Cricket: Is There Beauty In Crisis?,https://www.news18.com/podcast/the-cn-podcast/test-cricket-is-there-beauty-in-crisis-9452564.html
How India Cracked Trump’s Tariff Playbook — And Avoided Japan’s Mistakes,https://www.news18.com/podcast/news18-worldwise/how-india-cracked-trump-s-tariff-playbook-and-avoided-japan-s-mistakes-9446203.html
"PM Modi Departs For UK, Free Trade Deal Likely To Be Signed During Visit",https://www.news18.com/india/pm-modi-departs-for-uk-free-trade-deal-likely-to-be-signed-during-visit-9458009.html
"Astronomer's HR Chief, Rum Heir Husband Took Huge Loan for $2.2 Million Home—What If They Divorce?",https://www.news18.com/world/astronomers-hr-chief-rum-heir-husband-took-huge-loan-for-2-2-million-home-what-if-they-divorce-ws-kl-9457885.html
"‘F**k Off, Indian’: Australia’s Record Of Racial Abuse, Assaults & Stabbings Amid Attack On Student",https://www.news18.com/india/fk-off-indian-australias-record-of-racial-abuse-stabbings-amid-brutal-assault-on-charanpreet-ws-kl-9457793.html
'Weak Attempt At Distraction': Obama On Trump's Allegations Of Russian Interference In 2016 Polls,https://www.news18.com/world/barack-obama-rejects-donald-trump-2016-us-election-treason-allegations-russia-did-not-manipulate-votes-9457208.html
It Is Not Every Day You Get To See Sanya Malhotra Peel Onions,https://www.news18.com/movies/bollywood/it-is-not-every-day-you-get-to-see-sanya-malhotra-peel-onions-ws-l-aa-9458894.html
Brad Pitt-starrer 'F1' crosses Rs 100 crore mark at Indian box office,https://www.news18.com/agency-feeds/brad-pitt-starrer-f1-crosses-rs-100-crore-mark-at-indian-box-office-9458966.html
Bhagwan Mahaveer Foundation invites nominations for Awards,https://www.news18.com/agency-feeds/bhagwan-mahaveer-foundation-invites-nominations-for-awards-9458965.html
"3,438 SHGs formed to empower de-notified, nomadic communities: Govt",https://www.news18.com/agency-feeds/3438-shgs-formed-to-empower-de-notified-nomadic-communities-govt-9458963.html
Kolkata Metro upgrades power sub-station from 11KV to 33KV,https://www.news18.com/agency-feeds/kolkata-metro-upgrades-power-sub-station-from-11kv-to-33kv-9458964.html
"Murderbaad Movie Review: Sharib Hashmi, Amole Gupte Shine In This Layered But Overly Ambitious Whodunit Film",https://www.news18.com/movies/bollywood/murderbaad-movie-review-sharib-hashmi-amole-gupte-shine-in-this-layered-but-overly-ambitious-whodunit-film-ws-l-9449755.html
"Saiyaara Review: Ahaan Panday And Aneet Padda’s Luminous Presence, Nuanced Performances Elevate This Bumpy Screenplay",https://www.news18.com/movies/bollywood/saiyaara-review-ahaan-panday-and-aneet-paddas-luminous-presence-nuanced-performances-elevate-this-bumpy-screenplay-ws-l-9448867.html
Tanvi The Great Review: Anupam Kher And Shubhangi Dutt’s Honest Intent Falters Due To Uneven Execution,https://www.news18.com/movies/bollywood/tanvi-the-great-review-anupam-kher-and-shubhangi-dutts-honest-intent-falters-due-to-uneven-execution-ws-l-9447663.html
The Summer I Turned Pretty 3 Review: Lola Tung's Performance Is Beating Heart Of Final Season,https://www.news18.com/movies/web-series/the-summer-i-turned-pretty-3-review-lola-tungs-performance-is-beating-heart-of-final-season-9445347.html
"ITR Filing 2025: How Are Debt Mutual Funds Taxed, How To Report Them In Your Income Tax Return?",https://www.news18.com/business/tax/itr-filing-2025-how-are-debt-mutual-funds-taxed-how-to-report-them-in-your-income-tax-return-9458771.html
"Infosys Q1 Results: Net Profit Rises 8.7% YoY To Rs 6,921 Crore, Revenue Up 7.5%",https://www.news18.com/business/infosys-q1-results-net-profit-rises-8-7-yoy-to-rs-6921-crore-falls-1-6-qoq-9458472.html
ED Files Complaint Against Myntra Under FEMA For Flouting FDI Rules,https://www.news18.com/business/ed-flags-myntra-for-operating-multi-brand-retail-illegally-under-fdi-9458119.html
"GNG Electronics IPO Subscribed 7.55x On Day 1 So Far: Should You Apply? Check GMP, Price, Reviews",https://www.news18.com/business/ipo/gng-electronics-ipo-opens-today-should-you-apply-check-gmp-price-lot-size-subscription-reviews-9457620.html
"JAC Chandigarh Counselling 2025: Choice Filling Begins For Round 3, Check Schedule",https://www.news18.com/education-career/jac-chandigarh-counselling-2025-choice-filling-begins-for-round-3-check-schedule-9458345.html
BSF Constable Tradesmen Recruitment 2025: Application For 3588 Posts To Begin On July 26,https://www.news18.com/education-career/bsf-constable-tradesmen-recruitment-2025-application-for-3588-posts-to-begin-on-july-26-9458151.html
"NEET UG 2025 Counselling: Over 1.15 Lakh MBBS Seats Available, Check Seat Matrix",https://www.news18.com/education-career/neet-ug-2025-counselling-over-1-15-lakh-mbbs-seats-available-check-seat-matrix-9458014.html
"Intern Vs Employer: Expectations, Gaps & What Internships Should Deliver",https://www.news18.com/lifestyle/intern-vs-employer-expectations-gaps-what-internships-should-deliver-9458170.html
"Tagore Statue, Bangladesh Hindus & More: TMC Tries To Corner BJP With Tough Questions In Parliament",https://www.news18.com/politics/tagore-statue-bangladesh-hindus-more-tmc-tries-to-corner-bjp-with-tough-questions-in-parliament-ws-dl-9457369.html
"Jagdeep Dhankhar's Sudden Exit Evokes 'Congress's Compassion', But Here's Why TMC Is Unmoved",https://www.news18.com/politics/jagdeep-dhankhars-sudden-exit-evokes-congresss-compassion-but-heres-why-tmc-is-unmoved-9456957.html
'Goodbye Comrade': Kerala Fills The Streets As Achuthanandan Begins His Final Journey,https://www.news18.com/india/goodbye-comrade-vs-kerala-fills-the-streets-as-achuthanandan-begins-his-final-journey-ws-kl-9457010.html
'His Health Is Absolutely Fine': Is Mamata Banerjee Sceptical About Dhankhar's Resignation?,https://www.news18.com/politics/his-health-is-absolutely-fine-is-mamata-banerjee-sceptical-about-dhankhars-resignation-ws-l-9456914.html
Opinion | Looming Threat Of A Third World War,https://www.news18.com/opinion/opinion-looming-threat-of-a-third-world-war-ws-kl-9390566.html
PM Modi In Canada: India's Firm Diplomacy Pays Off As Carney Clears Up Trudeau's Mess,https://www.news18.com/opinion/modi-in-canada-indias-firm-diplomacy-pays-off-as-carney-clears-up-trudeaus-mess-finepoint-ws-bl-9391336.html
Opinion | Why Chopper Services In Pilgrim Spots Must Be Stopped,https://www.news18.com/opinion/opinion-why-chopper-services-in-pilgrim-spots-must-be-stopped-ws-kl-9390284.html
Opinion: India Boosts Global Role With PM Modi’s Foreign Visits,https://www.news18.com/opinion/opinion-india-boosts-global-role-with-pm-modis-foreign-visits-ws-kl-9458858.html
History Made! Shreyasi Joshi Becomes First Indian To Win Gold At Asian Roller Skating Championships,https://www.news18.com/sports/shreyasi-joshi-becomes-first-indian-to-win-gold-at-asian-roller-skating-championships-ws-l-9458531.html
'Fresh Hope': Karthi Selvam Hopes Euro Tour Will Open The Doors For India Comeback,https://www.news18.com/sports/fresh-hope-karthi-selvam-hopes-euro-tour-will-open-the-doors-for-india-comeback-ws-dl-9457911.html
Liverpool Eyeing Rodrygo Amid Uncertainty Over Luis Diaz's Future,https://www.news18.com/football/liverpool-eyeing-rodrygo-amid-uncertainty-over-luis-diazs-future-9457719.html
Sports Ministry Introduces National Anti-Doping Bill 2025 To Boost NADA's Autonomy,https://www.news18.com/sports/sports-ministry-introduces-national-anti-doping-bill-2025-to-boost-nadas-autonomy-ws-l-9458809.html
WhatsApp On Windows 11 PC Is Losing Native App Support: What Happens Now?,https://www.news18.com/tech/whatsapp-on-windows-11-pc-is-losing-native-app-support-what-happens-now-ws-l-9455828.html
"iPhone 17 Air Launch In September: Design, Specs And Price Expected",https://www.news18.com/tech/iphone-17-air-launch-in-september-design-specs-and-price-expected-ws-l-9456925.html
One Weak Password And Hackers Breach This UK Company's System: Know What Happened,https://www.news18.com/tech/one-weak-password-and-hackers-breach-this-uk-companys-system-know-what-happened-ws-el-9455170.html
"Carens Clavis EV Bookings To Open From 22nd July, Check Details",https://www.news18.com/auto/carens-clavis-ev-bookings-to-open-from-22nd-july-check-details-9453957.html
"Volvo XC60 Facelift To Launch In India On August 1, Here's List Of Expected Updates",https://www.news18.com/auto/volvo-xc60-facelift-to-launch-in-india-on-august-1-heres-list-of-expected-updates-9453406.html
Delhi Metro: Why Riders Can't Exit At These 2 Stations Without A Special ID,https://www.news18.com/auto/delhi-metro-why-riders-cant-exit-at-these-2-stations-without-a-special-id-ws-dkl-9453193.html
Understanding Menopause-Like Symptoms In Women In Their 30s,https://www.news18.com/lifestyle/health-and-fitness/understanding-menopause-like-symptoms-in-women-in-their-30s-9457786.html
Ozzy Osbourne Dies At 76 After Long Battle With Parkinson’s Disease: All You Need To Know About The Disease,https://www.news18.com/lifestyle/health-and-fitness/ozzy-osbourne-dies-at-76-after-long-battle-with-parkinsons-disease-9457738.html
Beyond Brushing: Preventive Dental Care Techniques You Should Be Using,https://www.news18.com/lifestyle/health-and-fitness/beyond-brushing-preventive-dental-care-techniques-you-should-be-using-9457380.html
"Desk Jobs, Daily Deadlines And Diabetes At 32? Corporate Life Just Got Riskier",https://www.news18.com/lifestyle/health-and-fitness/desk-jobs-daily-deadlines-and-diabetes-at-32-corporate-life-just-got-riskier-9457359.html
"National Broadcasting Day 2025: India’s Radio Journey, Policies And Milestones",https://www.news18.com/lifestyle/national-broadcasting-day-2025-indias-radio-journey-policies-and-milestones-ws-e-9455268.html
"Happy Sawan Shivratri Wishes 2025: Top Quotes, Images, WhatsApp Status, Shravan Fasting Rules And What To Eat And Avoid",https://www.news18.com/lifestyle/sawan-shivratri-wishes-2025-top-wishes-quotes-images-whatsapp-status-shravan-fasting-rules-and-what-to-eat-and-avoid-during-vrat-ws-e-9455343.html
"Want To Work In Germany? This New Visa Lets You Stay For A Year For Just Rs 7,500",https://www.news18.com/lifestyle/travel/want-to-work-in-germany-this-new-visa-lets-you-stay-for-a-year-for-just-rs-7500-ws-el-9450135.html
"Kanika Kapoor’s Corseted Blush Look Was All About Soft, Feminine Power",https://www.news18.com/lifestyle/kanika-kapoors-corseted-blush-look-was-all-about-soft-feminine-power-ws-l-9456570.html
